system:index,date,__index_level_0__,year,DN,satellite,image_id,tile_id,take_id
0,2018-08-14,0,2018,1,1043,1630732_0369816_2018-08-14_1043,0369816,1630732
1,2018-07-29,0,2018,1,1005,1596202_0369816_2018-07-29_1005,0369816,1596202
2,2018-07-29,1,2018,1,1005,1596202_0369816_2018-07-29_1005,0369816,1596202
3,2018-07-29,2,2018,1,1005,1596202_0369816_2018-07-29_1005,0369816,1596202
4,2022-06-30,0,2022,1,24a3,5751372_0369815_2022-06-30_24a3,0369815,5751372
5,2021-07-12,0,2021,1,2459,4684453_0369716_2021-07-12_2459,0369716,4684453
6,2021-07-12,1,2021,1,2459,4684453_0369716_2021-07-12_2459,0369716,4684453
7,2021-07-13,0,2021,1,2416,4689757_0369816_2021-07-13_2416,0369816,4689757
8,2020-08-15,0,2020,1,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
9,2020-08-15,1,2020,1,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
10,2020-08-15,2,2020,1,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
11,2020-08-15,3,2020,,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
12,2020-08-15,4,2020,,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
13,2020-08-15,5,2020,,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
14,2020-08-15,6,2020,,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
15,2020-08-15,7,2020,,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
16,2020-08-15,8,2020,,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
17,2020-08-15,9,2020,,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
18,2020-08-15,10,2020,,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
19,2020-08-15,11,2020,,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
20,2020-08-15,12,2020,,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
21,2020-08-15,13,2020,,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
22,2020-08-15,14,2020,,0f2b,3652451_0369816_2020-08-15_0f2b,0369816,3652451
23,2022-06-16,0,2022,1,2424,5716392_0369816_2022-06-16_2424,0369816,5716392
